Genome Name / Sample Name	Strain	IMG Genome ID
Streptomyces sp. BK561	BK561	2795386110
Streptomyces sp. BK674	BK674	2795386116
Streptomyces sp. CF124	CF124	2609459763
Streptomyces sp. CF386	CF386	2615840541
Streptomyces sp. OK006	OK006	2639763183
Streptomyces sp. OK074	OK074	2639762959
Streptomyces sp. OK210	OK210	2615840540
Streptomyces sp. OK228	OK228	2721755846
Streptomyces sp. OK885	OK885	2716884858
Streptomyces sp. OV198	OV198	2718217699
Streptomyces sp. OV320	OV320	2634166429
Streptomyces sp. OV450	OV450	2639763148
Streptomyces sp. YR375	YR375	2615840635
Tardiphaga sp. CF115	CF115	2758568495
Tardiphaga sp. OK245	OK245	2609459751
Tardiphaga sp. OK246	OK246	2609459765
Tardiphaga sp. OV697	OV697	2757320514
Tardiphaga sp. YR296	YR296	2758568519
Tumebacillus sp. BK434	BK434	2795386103
Variovorax sp. BK119	BK119	2799112243
Variovorax sp. BK151	BK151	2799112225
Variovorax sp. BK370	BK370	2795386127
Variovorax sp. BK460	BK460	2795386117
Variovorax sp. BT01	BT01	2738543013
Variovorax sp. CF079	CF079	2687453692
Variovorax sp. CF313	CF313	2513020051
Variovorax sp. GV004	GV004	2757320526
Variovorax sp. GV008	GV008	2738541307
Variovorax sp. GV014	GV014	2757320433
Variovorax sp. GV035	GV035	2757320412
Variovorax sp. GV040	GV040	2738543019
Variovorax sp. GV042	GV042	2757320422
Variovorax sp. GV051	GV051	2738541277
Variovorax sp. OK202	OK202	2687453690
Variovorax sp. OK212	OK212	2690315635
Variovorax sp. OK605	OK605	2609459724
Variovorax sp. OV084	OV084	2687453687
Variovorax sp. OV329	OV329	2687453688
Variovorax sp. OV700	OV700	2687453678
Variovorax sp. PDC80	PDC80	2687453681
Variovorax sp. YR216	YR216	2690315647
Variovorax sp. YR266	YR266	2687453812
Variovorax sp. YR634	YR634	2690315617
Variovorax sp. YR750	YR750	2687453686
Variovorax sp. YR752	YR752	2734482178
Viridibacillus sp. OK051	OK051	2716884256
